        xo      kBT/p         gC         kb      score          A         r1         r2
       0.7         73         10         41   0.446511         10     0.9871    1.02773
       0.8         73         10         41    0.57565         10   0.975949    1.02218
       0.1         82         10         41   0.183114         10    1.05811    1.04189
       0.2         82         10         41   0.149364         10     1.0345    1.03438
       0.3         82         10         41   0.166482         10    1.02007    1.03039
       0.4         82         10         41   0.199661         10       1.01    1.02873
       0.5         82         10         41   0.257473         10    1.00182    1.02779
       0.6         82         10         41   0.383426         10   0.993709    1.02944
       0.7         82         10         41   0.429588         10   0.985115    1.02806
       0.8         82         10         41    0.72853         10   0.978376    1.01793
       0.1         91         10         41   0.176989         10    1.05529    1.04116
       0.2         91         10         41   0.154897         10    1.03133    1.03369
       0.3         91         10         41   0.171763         10    1.01762    1.02998
       0.4         91         10         41   0.199131         10    1.00839    1.02891
       0.5         91         10         41   0.280262         10    1.00044    1.02811
       0.6         91         10         41   0.393218         10   0.993001    1.02961
       0.7         91         10         41   0.436817         10   0.984629    1.02796
       0.8         91         10         41   0.981017         10   0.975621    1.01499
       0.1        100         10         41   0.179879         20    1.06154    1.03698
       0.2        100         10         41   0.157511         20    1.03476    1.03101
       0.3        100         10         41   0.180314         20    1.02099    1.02913
       0.4        100         10         41   0.221538         20    1.01168     1.0282
       0.5        100         10         41   0.292728         20    1.00522    1.02979
       0.6        100         10         41   0.408041         20   0.997616    1.03157
       0.7        100         10         41   0.474855         20   0.990062    1.02767
       0.8        100         10         41   0.881023         20   0.985019    1.00771
       0.1         10         10         41    1.12027         20    1.27578    0.37976
       0.2         10         10         41   0.286761         20     1.1186    1.02317
       0.3         10         10         41   0.244493         20    1.09247    1.03463
       0.4         10         10         41   0.210745         20     1.0759    1.03782
       0.5         10         10         41   0.172704         20    1.05885    1.03655
       0.6         10         10         41   0.152897         20    1.03776    1.03131
       0.7         10         10         41   0.182136         20     1.0172    1.02772
       0.8         10         10         41   0.334331         20   0.998227     1.0277
       0.1         19         10         41   0.309892         20    1.12958    1.01664
       0.2         19         10         41   0.235589         20    1.08942    1.03559
       0.3         19         10         41     0.2024         20    1.07148    1.03792
       0.4         19         10         41   0.165783         20    1.05509     1.0357
       0.5         19         10         41   0.153066         20    1.03749     1.0314
       0.6         19         10         41   0.174118         20    1.02123    1.02857
       0.7         19         10         41   0.246082         20    1.00628    1.02737
       0.8         19         10         41   0.431406         20   0.992832     1.0265
       0.1          1         10         41    13.1963         20    1.90734   0.395802
       0.2          1         10         41    7.54315         20    1.71147   0.357965
       0.3          1         10         41    2.98514         20    1.45721   0.431733
       0.4          1         10         41    1.39143         20    1.31212   0.579457
       0.5          1         10         41   0.768562         20    1.21977   0.706566
       0.6          1         10         41   0.291568         20    1.12118    1.02407
       0.7          1         10         41   0.223902         20     1.0828    1.03824
       0.8          1         10         41    0.15813         20    1.04142    1.03254
       0.1         28         10         41   0.267179         20    1.10627      1.029
       0.2         28         10         41   0.211528         20    1.07668    1.03765
       0.3         28         10         41   0.174425         20    1.05883    1.03652
       0.4         28         10         41   0.159504         20    1.04197    1.03246
       0.5         28         10         41    0.16598         20    1.02679    1.02964
       0.6         28         10         41   0.194584         20    1.01382    1.02809
       0.7         28         10         41   0.302636         20    1.00118     1.0287
       0.8         28         10         41   0.454471         20   0.988632    1.02676
       0.1         37         10         41   0.247415         20     1.0943    1.03396
       0.2         37         10         41   0.193709         20    1.06792    1.03777
       0.3         37         10         41   0.159831         20    1.04932    1.03434
       0.4         37         10         41   0.158853         20    1.03306    1.03072
       0.5         37         10         41   0.176424         20    1.02055    1.02869
       0.6         37         10         41    0.21891         20    1.00874     1.0275
       0.7         37         10         41   0.388852         20   0.998208    1.02938
       0.8         37         10         41   0.511865         20   0.984711     1.0239
       0.1         46         10         41   0.231172         20    1.08655    1.03626
       0.2         46         10         41    0.17886         20    1.06076    1.03675
       0.3         46         10         41   0.159391         20    1.04189    1.03246
       0.4         46         10         41   0.165567         20    1.02738    1.02984
       0.5         46         10         41   0.191956         20    1.01603    1.02847
       0.6         46         10         41   0.238342         20    1.00616    1.02849
       0.7         46         10         41   0.409701         20   0.996431    1.02946
       0.8         46         10         41   0.561303         20   0.981763    1.02192
       0.1         55         10         41   0.218996         20    1.08073     1.0373
       0.2         55         10         41   0.164505         20    1.05466    1.03559
       0.3         55         10         41   0.154181         20    1.03604    1.03132
       0.4         55         10         41   0.170474         20    1.02328    1.02936
       0.5         55         10         41   0.204479         20    1.01289    1.02854
       0.6         55         10         41   0.308414         20    1.00444    1.02918
       0.7         55         10         41   0.403084         20   0.994672    1.02982
       0.8         55         10         41   0.541596         20    0.98394    1.01977
       0.1         64         10         41   0.210475         20    1.07586    1.03773
       0.2         64         10         41   0.159578         20    1.04944    1.03445
       0.3         64         10         41    0.15885         20    1.03145    1.03061
       0.4         64         10         41   0.176159         20       1.02    1.02887
       0.5         64         10         41   0.247139         20    1.01048    1.02807
       0.6         64         10         41   0.302882         20    1.00165    1.02988
       0.7         64         10         41   0.435419         20   0.993825    1.02865
       0.8         64         10         41   0.602663         20   0.979807    1.01818
       0.1         73         10         41   0.202747         20    1.07177     1.0378
       0.2         73         10         41    0.15775         20    1.04496    1.03335
       0.3         73         10         41   0.163738         20    1.02814    1.03008
       0.4         73         10         41   0.179147         20    1.01731    1.02891
       0.5         73         10         41   0.245806         20     1.0086    1.02832
       0.6         73         10         41   0.334827         20   0.999913    1.03036
       0.7         73         10         41   0.446274         20   0.992418      1.029
       0.8         73         10         41   0.590884         20   0.981859     1.0185
       0.1         82         10         41   0.193974         20    1.06811    1.03774
       0.2         82         10         41   0.158416         20    1.04106     1.0323
       0.3         82         10         41   0.167256         20    1.02557    1.02968
       0.4         82         10         41   0.195269         20    1.01526    1.02843
       0.5         82         10         41   0.253658         20    1.00662    1.02888
       0.6         82         10         41   0.381898         20   0.998921     1.0308
       0.7         82         10         41    0.42838         20   0.990718    1.03009
       0.8         82         10         41    1.02466         20   0.982798    1.01155
       0.1         91         10         41   0.184448         20    1.06469     1.0374
       0.2         91         10         41   0.153405         20    1.03761    1.03168
       0.3         91         10         41   0.171803         20    1.02304    1.02936
       0.4         91         10         41   0.198307         20    1.01322    1.02885
       0.5         91         10         41    0.27552         20    1.00555    1.02926
       0.6         91         10         41   0.389245         20   0.998434    1.03106
       0.7         91         10         41    0.43692         20   0.990698    1.02912
       0.8         91         10         41    1.00967         20   0.981411    1.01255
       0.1        100         10         41   0.171011          5    1.04842    1.04201
       0.2        100         10         41   0.156539          5     1.0261    1.03359
       0.3        100         10         41   0.180791          5     1.0136    1.03061
       0.4        100         10         41   0.225003          5    1.00617    1.02914
       0.5        100         10         41   0.291106          5   0.999865    1.02954
       0.6        100         10         41   0.416063          5   0.993564      1.031
       0.7        100         10         41   0.460593          5   0.986156    1.02842
       0.8        100         10         41   0.792086          5   0.982278    1.01312
       0.1         10         10         41   0.668649          5     1.1835   0.442807
       0.2         10         10         41   0.240283          5    1.07826    1.04649
       0.3         10         10         41   0.217371          5    1.06856    1.04713
       0.4         10         10         41   0.195749          5    1.05915    1.04544
       0.5         10         10         41   0.167429          5    1.04627    1.04135
       0.6         10         10         41    0.15159          5    1.02866    1.03439
       0.7         10         10         41   0.182462          5    1.01059    1.02894
       0.8         10         10         41   0.339413          5   0.993526    1.02722
       0.1         19         10         41   0.245571          5    1.08093    1.04624
       0.2         19         10         41   0.212987          5    1.06713    1.04669
       0.3         19         10         41   0.185823          5    1.05611    1.04441
       0.4         19         10         41   0.158614          5    1.04318    1.04005
       0.5         19         10         41   0.151751          5    1.02846    1.03435
       0.6         19         10         41   0.176703          5    1.01384    1.03004
       0.7         19         10         41   0.248901          5    1.00151    1.02734
       0.8         19         10         41    0.43073          5   0.989142    1.02597
       0.1          1         10         41    8.59645          5    1.73567   0.382009
       0.2          1         10         41    2.76491          5    1.42397   0.495968
       0.3          1         10         41     1.2392          5    1.28009   0.598556
       0.4          1         10         41   0.800804          5    1.21593   0.611763
       0.5          1         10         41   0.547319          5    1.16855   0.724771
       0.6          1         10         41   0.241665          5    1.07902    1.04703
       0.7          1         10         41   0.205104          5    1.06307     1.0472
       0.8          1         10         41   0.155438          5    1.03184    1.03571
       0.1         28         10         41   0.231654          5    1.07423    1.04692
       0.2         28         10         41   0.197117          5    1.05972    1.04532
       0.3         28         10         41   0.166679          5    1.04621    1.04119
       0.4         28         10         41   0.154861          5    1.03218    1.03579
       0.5         28         10         41   0.166739          5    1.01881    1.03148
       0.6         28         10         41   0.196376          5    1.00802    1.02905
       0.7         28         10         41    0.30428          5   0.996219    1.02836
       0.8         28         10         41   0.454753          5   0.985245     1.0254
       0.1         37         10         41   0.219977          5    1.06945    1.04708
       0.2         37         10         41    0.18216          5    1.05348    1.04363
       0.3         37         10         41   0.156237          5     1.0383    1.03812
       0.4         37         10         41      0.159          5    1.02467    1.03305
       0.5         37         10         41   0.177119          5    1.01319    1.03021
       0.6         37         10         41   0.225381          5    1.00383    1.02836
       0.7         37         10         41   0.387595          5   0.993906    1.02899
       0.8         37         10         41   0.510689          5   0.981021    1.02321
       0.1         46         10         41   0.208651          5    1.06566     1.0466
       0.2         46         10         41   0.170195          5    1.04775    1.04183
       0.3         46         10         41   0.154162          5    1.03214    1.03582
       0.4         46         10         41   0.166847          5    1.01935    1.03177
       0.5         46         10         41   0.194135          5    1.00963    1.02963
       0.6         46         10         41   0.239957          5    1.00106    1.02838
       0.7         46         10         41   0.411838          5   0.992264    1.02898
       0.8         46         10         41   0.574768          5   0.976907     1.0214
       0.1         55         10         41   0.202095          5    1.06225    1.04605
       0.2         55         10         41   0.158661          5     1.0428    1.03988
       0.3         55         10         41   0.153569          5    1.02725    1.03405
       0.4         55         10         41   0.172997          5    1.01558    1.03097
       0.5         55         10         41   0.207973          5     1.0072    1.02953
       0.6         55         10         41    0.30885          5   0.999128    1.02895
       0.7         55         10         41   0.402833          5   0.990602    1.02937
       0.8         55         10         41   0.594832          5   0.976136    1.02104
       0.1         64         10         41   0.195445          5    1.05918    1.04534
       0.2         64         10         41   0.156444          5    1.03845    1.03825
       0.3         64         10         41   0.158952          5    1.02325    1.03288
       0.4         64         10         41   0.179171          5    1.01276    1.03029
       0.5         64         10         41   0.245158          5    1.00532    1.02873
       0.6         64         10         41   0.305844          5   0.996599    1.02948
       0.7         64         10         41   0.436692          5   0.990125    1.02802
       0.8         64         10         41    0.57514          5   0.979306    1.02042
       0.1         73         10         41   0.186178          5    1.05631    1.04449
       0.2         73         10         41   0.156477          5    1.03466    1.03685
       0.3         73         10         41   0.164241          5    1.02007    1.03204
       0.4         73         10         41   0.181237          5    1.01071    1.03012
       0.5         73         10         41    0.24485          5    1.00364    1.02844
       0.6         73         10         41   0.336824          5   0.995496     1.0301
       0.7         73         10         41   0.447337          5   0.988791    1.02837
       0.8         73         10         41   0.588081          5   0.978241      1.021
       0.1         82         10         41   0.182286          5    1.05354    1.04367
       0.2         82         10         41   0.152842          5    1.03138    1.03551
       0.3         82         10         41   0.167463          5    1.01758    1.03146
       0.4         82         10         41   0.197114          5    1.00892    1.02964
       0.5         82         10         41   0.255649          5    1.00149    1.02878
       0.6         82         10         41   0.385596          5   0.994769    1.03019
       0.7         82         10         41   0.430662          5   0.987004    1.02885
       0.8         82         10         41   0.730002          5   0.980539    1.01728
       0.1         91         10         41   0.174536          5      1.051    1.04286
       0.2         91         10         41   0.152405          5    1.02848    1.03454
       0.3         91         10         41    0.17468          5    1.01538      1.031
       0.4         91         10         41   0.202334          5    1.00753    1.02974
       0.5         91         10         41   0.281179          5    1.00013    1.02911
       0.6         91         10         41   0.396797          5   0.994017    1.03047
       0.7         91         10         41   0.438831          5   0.986647    1.02851
       0.8         91         10         41    1.07766          5   0.976907    1.00671
